,crisis_covid_impact_school_closed,crisis_life_changes_in_person_conversation,crisis_life_changes_time_outside_home,crisis_life_changes_stress_stay_at_home,crisis_life_changes_freq_outside_contacts,crisis_life_changes_difficulty_distancing,crisis_life_changes_fam_relationship,crisis_life_changes_stress_family_change,crisis_life_changes_friend_relationship,crisis_life_changes_stress_friend_change,crisis_life_changes_stress_cancellation,crisis_life_changes_financial_difficulty,crisis_life_changes_houing_instability,crisis_life_changes_food_insecurity,crisis_life_changes_covid_worries_hopefully_end,crisis_covid_impact_job_loss
s001,,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0,0,2,
s002,,3.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,0,0,5,
s003,,1.0,2.0,1.0,4.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,0,0,4,0
s004,,2.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,1.0,3.0,2.0,2,0,2,
s005,,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,0,0,1,0
s007,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1,0,2,
s008,,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,0,0,2,
s010,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1,0,3,0
s012,,3.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,0,0,2,0
s013,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,0,0,4,0
s014,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1,0,1,
s016,,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0,0,4,
s017,,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,0,0,4,
s019,,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,0,0,5,0
s020,,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2,0,2,
s021,,2.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,0,0,3,0
s022,,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,0,0,5,
s023,,2.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1,0,1,
s024,,3.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,2,0,5,1
s025,,2.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2,0,2,0
s026,,2.0,4.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1,1,5,0
s027,,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1,0,1,
s029,,1.0,2.0,2.0,2.0,1.0,5.0,2.0,3.0,1.0,4.0,3.0,1,1,2,0
s030,,2.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0,0,1,0
s033,,3.0,2.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0,0,2,
s034,,3.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,0,0,5,0
s035,1.0,2.0,2.0,5.0,1.0,3.0,2.0,4.0,3.0,3.0,5.0,1.0,1,0,2,0
s036,,3.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,1.0,5.0,5.0,4,1,1,
s038,,1.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0,0,3,
s040,,2.0,2.0,5.0,5.0,1.0,2.0,5.0,2.0,2.0,5.0,1.0,1,0,3,0
s041,,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3,0,2,0
s042,,1.0,2.0,4.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3,0,2,
s043,,2.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0,4,1,1,0
