,Sex,Age,Race,OtherRace,HispanicLatino,HighestEducation,HeightFeet,HeightInches,WeightPounds,RelationshipStatus,DivorceCount,LongestRelationshipYears,LongestRelationshipMonths,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,RentOwn,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtSources,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,GamblingProblem,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,MotivationForParticipation,MotivationOther,country,state,other_state,crisis_currentlyworking,crisis_occupation,crisis_military,crisis_urbanicity,crisis_householdpeople,crisis_householdrelation,crisis_esssentialworkers,crisis_workersforcovid,crisis_householdrooms,crisis_healthinsurance,crisis_moneysupport,crisis_physicalhealth,crisis_mentalhealth,crisis_workershome,OtherDebtAmount
s001,0,36,White,,0,3,6,0,290,2,0,9,4,3,0,79000,1.0,4,0,1.0,1.0,1.0,1.0,,1,3,0,0,0,0,1,0,money,,USA,35,,1,IT Support Specialist,0,3,3,Partner/Spouse,0,0,7,2,0,3,5,,
s002,1,52,White,,0,3,5,4,175,2,0,33,0,3,1,48000,1.0,10,1,1.0,3.0,1.0,1.0,,0,3,0,0,1,0,2,0,money,,USA,4,,6,ISP tech support (laid off),0,3,2,Partner/Spouse,1,0,6,2,0,3,5,3,
s003,1,45,White,,0,3,5,5,250,1,0,0,6,6,0,27000,0.0,,1,1.0,1.0,1.0,1.0,,0,3,0,65,0,0,3,0,money,,United States,37,,7,n/a,0,3,0, I live alone,0,,5,4,0,1,1,,
s004,1,31,Black or African American,,0,4,5,6,157,3,0,9,3,3,2,64000,1.0,1,1,2.0,1.0,4.0,3.0,,0,1,1,0,0,0,2,0,tasks are fun,,United States,33,,1,Social Worker,0,1,3,Partner/Spouse,0,0,4,2,0,3,4,,
s005,0,31,White,,0,3,5,6,155,1,0,3,2,4,0,43000,0.0,,1,1.0,1.0,5.0,1.0,,4,3,3,150,0,0,2,5,money,,USA,32,,1,data analysis,0,1,1, I live alone,0,,5,5,0,4,5,,
s007,0,32,White,,0,4,5,5,180,1,0,0,0,0,0,50000,1.0,3,0,1.0,1.0,1.0,2.0,,0,0,0,0,0,0,0,0,money,,USA,1,,1,Construction Supervisor,0,4,1, Parent(s),0,,6,3,0,4,4,,
s008,0,47,White,,0,4,5,11,205,2,0,15,3,5,2,150000,1.0,6,0,8.0,3.0,6.0,2.0,,2,1,1,0,0,0,1,0,money,,USA,33,,1,Middle Management Health Care Support,0,2,3,Partner/Spouse,0,,9,2,0,4,5,,
s010,0,31,White,,1,3,5,11,278,2,0,11,5,6,1,34000,0.0,,1,2.0,2.0,3.0,2.0,,0,0,0,0,0,0,0,0,tasks are fun,,USA,43,,1,retail,0,2,3,Partner/Spouse,1,0,3,3,0,3,3,3,
s012,0,43,White,,0,4,6,0,175,2,0,20,1,3,2,94000,1.0,6,0,7.0,4.0,3.0,1.0,0,3,0,0,0,0,0,1,0,money,,USA,14,,1,Team Lead Supervisor,0,4,3,Partner/Spouse,1,0,7,2,0,4,5,3,
s013,0,62,White,,0,3,5,11,175,2,1,26,10,4,5,20000,0.0,1,0,1.0,1.0,1.0,1.0,0,8,0,0,0,0,0,2,1,money,,United States,4,,1,asst manager - retail,0,5,2,Partner/Spouse,1,0,0,5,0,3,4,1,1.0
s014,0,41,White,,0,4,5,11,180,1,0,4,6,5,0,30000,0.0,,1,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,1,0,money,,United States,39,,1,maintenance,0,2,0, I live alone,1,0,6,2,0,4,4,3,
s016,0,47,White,,0,4,6,4,197,2,0,19,4,5,4,125000,1.0,10,0,6.0,4.0,1.0,1.0,n/a,0,0,2,0,0,0,2,0,money,,USA,22,,1,IT Admin,0,5,1,Partner/Spouse,1,0,10,2,0,5,5,3,1.0
s017,0,50,White,,1,6,6,1,185,1,0,2,0,5,0,3000,0.0,,0,1.0,1.0,1.0,1.0,,1,1,1,0,0,0,0,0,money,,USA,9,,1,office clerk,0,3,0, I live alone,0,,7,7,0,4,5,,
s019,0,35,White,,0,4,6,0,180,2,0,7,0,6,0,54000,1.0,6,0,,1.0,1.0,1.0,No others,4,0,2,0,0,0,1,0,money,Covid-19 lockdown boredom,United States,38,,1,Programmer,0,2,1,Partner/Spouse,0,,4,2,0,5,5,,
s020,1,39,White,,0,4,5,10,145,1,0,10,6,5,1,65000,1.0,1,0,7.0,2.0,1.0,2.0,Medical Debt,0,0,1,0,0,0,1,0,money,n/a,United States,5,,1,Consultant Manager,0,1,2, Children,1,0,5,2,0,4,3,3,2.0
s021,1,62,White,,0,4,5,4,125,3,2,22,3,4,2,65000,1.0,5,0,2.0,1.0,1.0,1.0,,0,1,0,0,0,0,1,0,money,,USA,9,,1,marketing manager,0,2,1,Partner/Spouse,0,,7,2,0,4,5,,
s022,0,40,White,,0,4,5,11,240,1,0,0,6,1,0,55000,0.0,1,1,6.0,1.0,4.0,1.0,,1,0,0,0,0,0,0,0,money,,Unites States,47,,1,Accountant,0,2,2, Parent(s),1,0,6,2,0,3,4,3,1.0
s023,0,37,White,,0,4,6,1,155,1,0,3,4,5,0,31000,1.0,10,0,6.0,1.0,1.0,1.0,,4,0,0,0,0,0,2,0,money,,united states,9,,1,operations assistant,0,1,0, I live alone,0,,5,3,0,3,2,,
s024,0,26,Asian,,0,4,5,9,150,1,0,1,10,5,0,34000,0.0,,1,1.0,1.0,6.0,2.0,,1,0,0,0,0,0,4,0,money,,United States,22,,8,Sales,0,2,1, Unrelated person,0,0,5,2,0,5,5,3,
s025,1,46,Black or African American,,0,3,5,9,195,1,0,2,6,2,0,37500,0.0,1,1,1.0,1.0,1.0,4.0,,0,0,0,90,0,0,0,0,money,,United States,33,,1,Health Information Tech,0,2,1, Parent(s),0,0,7,2,0,3,3,,1.0
s026,1,47,White,NA,0,3,5,1,175,2,0,12,0,3,1,89000,1.0,1,0,,1.0,4.0,1.0,na,4,1,0,0,0,0,0,0,money,,USA,32,,1,Administrative Assistant,0,5,-1,Partner/Spouse,1,0,7,2,0,5,5,3,1.0
