,Age,HighestEducation,HeightFeet,HeightInches,WeightPounds,DivorceCount,LongestRelationshipYears,LongestRelationshipMonths,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,country,crisis_currentlyworking,crisis_occupation,crisis_military,crisis_urbanicity,crisis_householdpeople,crisis_esssentialworkers,crisis_workersforcovid,crisis_householdrooms,crisis_healthinsurance,crisis_moneysupport,crisis_physicalhealth,crisis_mentalhealth,crisis_workershome,OtherDebtAmount
s001,36,3,6,0,290,0,9,4,3,0,79000,1.0,4,1.0,1.0,1.0,1.0,1,3,0,0,0,1,0,USA,1,IT Support Specialist,0,3,3,0,0,7,2,0,3,5,,
s002,52,3,5,4,175,0,33,0,3,1,48000,1.0,10,1.0,3.0,1.0,1.0,0,3,0,0,0,2,0,USA,6,ISP tech support (laid off),0,3,2,1,0,6,2,0,3,5,3,
s003,45,3,5,5,250,0,0,6,6,0,27000,0.0,,1.0,1.0,1.0,1.0,0,3,0,65,0,3,0,United States,7,n/a,0,3,0,0,,5,4,0,1,1,,
s004,31,4,5,6,157,0,9,3,3,2,64000,1.0,1,2.0,1.0,4.0,3.0,0,1,1,0,0,2,0,United States,1,Social Worker,0,1,3,0,0,4,2,0,3,4,,
s005,31,3,5,6,155,0,3,2,4,0,43000,0.0,,1.0,1.0,5.0,1.0,4,3,3,150,0,2,5,USA,1,data analysis,0,1,1,0,,5,5,0,4,5,,
s007,32,4,5,5,180,0,0,0,0,0,50000,1.0,3,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,USA,1,Construction Supervisor,0,4,1,0,,6,3,0,4,4,,
s008,47,4,5,11,205,0,15,3,5,2,150000,1.0,6,8.0,3.0,6.0,2.0,2,1,1,0,0,1,0,USA,1,Middle Management Health Care Support,0,2,3,0,,9,2,0,4,5,,
s010,31,3,5,11,278,0,11,5,6,1,34000,0.0,,2.0,2.0,3.0,2.0,0,0,0,0,0,0,0,USA,1,retail,0,2,3,1,0,3,3,0,3,3,3,
s012,43,4,6,0,175,0,20,1,3,2,94000,1.0,6,7.0,4.0,3.0,1.0,3,0,0,0,0,1,0,USA,1,Team Lead Supervisor,0,4,3,1,0,7,2,0,4,5,3,
s013,62,3,5,11,175,1,26,10,4,5,20000,0.0,1,1.0,1.0,1.0,1.0,8,0,0,0,0,2,1,United States,1,asst manager - retail,0,5,2,1,0,0,5,0,3,4,1,1.0
s014,41,4,5,11,180,0,4,6,5,0,30000,0.0,,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,United States,1,maintenance,0,2,0,1,0,6,2,0,4,4,3,
s016,47,4,6,4,197,0,19,4,5,4,125000,1.0,10,6.0,4.0,1.0,1.0,0,0,2,0,0,2,0,USA,1,IT Admin,0,5,1,1,0,10,2,0,5,5,3,1.0
s017,50,6,6,1,185,0,2,0,5,0,3000,0.0,,1.0,1.0,1.0,1.0,1,1,1,0,0,0,0,USA,1,office clerk,0,3,0,0,,7,7,0,4,5,,
s019,35,4,6,0,180,0,7,0,6,0,54000,1.0,6,,1.0,1.0,1.0,4,0,2,0,0,1,0,United States,1,Programmer,0,2,1,0,,4,2,0,5,5,,
s020,39,4,5,10,145,0,10,6,5,1,65000,1.0,1,7.0,2.0,1.0,2.0,0,0,1,0,0,1,0,United States,1,Consultant Manager,0,1,2,1,0,5,2,0,4,3,3,2.0
s021,62,4,5,4,125,2,22,3,4,2,65000,1.0,5,2.0,1.0,1.0,1.0,0,1,0,0,0,1,0,USA,1,marketing manager,0,2,1,0,,7,2,0,4,5,,
s022,40,4,5,11,240,0,0,6,1,0,55000,0.0,1,6.0,1.0,4.0,1.0,1,0,0,0,0,0,0,Unites States,1,Accountant,0,2,2,1,0,6,2,0,3,4,3,1.0
s023,37,4,6,1,155,0,3,4,5,0,31000,1.0,10,6.0,1.0,1.0,1.0,4,0,0,0,0,2,0,united states,1,operations assistant,0,1,0,0,,5,3,0,3,2,,
s024,26,4,5,9,150,0,1,10,5,0,34000,0.0,,1.0,1.0,6.0,2.0,1,0,0,0,0,4,0,United States,8,Sales,0,2,1,0,0,5,2,0,5,5,3,
s025,46,3,5,9,195,0,2,6,2,0,37500,0.0,1,1.0,1.0,1.0,4.0,0,0,0,90,0,0,0,United States,1,Health Information Tech,0,2,1,0,0,7,2,0,3,3,,1.0
s026,47,3,5,1,175,0,12,0,3,1,89000,1.0,1,,1.0,4.0,1.0,4,1,0,0,0,0,0,USA,1,Administrative Assistant,0,5,-1,1,0,7,2,0,5,5,3,1.0
s027,33,2,5,9,215,0,0,0,0,0,20000,0.0,,1.0,1.0,1.0,1.0,0,0,2,0,0,1,0,United States,4,unemployed,0,3,1,0,,2,5,0,2,3,,
s029,31,3,6,0,300,1,9,6,2,1,32000,1.0,2,1.0,1.0,4.0,1.0,1,0,1,0,0,0,0,United States,1,Debt Collector,0,1,2,0,0,2,5,0,3,4,,1.0
