ID,crisis_behav_media_post_exercise,crisis_mood_states_pre_fatigue,crisis_behav_media_post_tv_media,crisis_behav_media_pre_hours_sleep_weekdays,crisis_mood_states_post_relaxed_vs_anxious,crisis_life_changes_time_outside_home,crisis_life_changes_stress_friend_change,crisis_life_changes_stress_cancellation,crisis_mood_states_post_fatigue,crisis_mood_states_pre_focus,crisis_behav_media_post_bed_weekdays,crisis_mood_states_post_focus,crisis_behav_media_post_videogames,crisis_mood_states_pre_worry,crisis_behav_media_pre_exercise,crisis_covid_worries_others,crisis_mood_states_pre_loneliness,crisis_life_changes_stress_family_change,crisis_life_changes_financial_difficulty,crisis_mood_states_pre__relaxed_vs_anxious,crisis_mood_states_post_negative_thougths,crisis_mood_states_pre_negative_thoughts,crisis_behav_media_pre_bed_weekends,crisis_covid_impact_job_loss,crisis_mood_states_pre_enjoy_activities,crisis_mood_states_post_happy_vs_sad,crisis_behav_media_pre_time_outdoor,crisis_mood_states_pre_happy_vs_sad,crisis_behav_media_pre_hours_sleep_weekends,crisis_behav_media_pre_social_media,crisis_life_changes_stress_stay_at_home,crisis_mood_states_post_irritability,crisis_life_changes_freq_outside_contacts,crisis_mood_states_pre_fidget,crisis_covid_worries_physical,crisis_behav_media_pre_tv_media,crisis_life_changes_difficulty_distancing,crisis_mood_states_post_worry,crisis_behav_media_pre_videogames,crisis_covid_worries_self,crisis_mood_states_pre_irritability,crisis_covid_worries_mental,crisis_life_changes_in_person_conversation,crisis_behav_media_post_bed_weekends,crisis_mood_states_post_fidget,crisis_life_changes_food_insecurity,crisis_behav_media_pre_bed_weekdays,crisis_life_changes_fam_relationship,crisis_covid_impact_school_closed,crisis_behav_media_post_hours_sleep_weekend,crisis_covid_worries_positive_changes,crisis_mood_states_post_enjoy_activities,crisis_behav_media_post_hours_sleep_weekdays,crisis_behav_media_post_social_media,crisis_life_changes_friend_relationship,crisis_covid_worries_reading,crisis_behav_media_post_time_outdoor,crisis_life_changes_houing_instability,crisis_mood_states_post_loneliness,crisis_life_changes_covid_worries_hopefully_end
00136f50,5.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,1.0,2.0
003db2d0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,,5.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,5.0,2.0,1.0,1.0,6.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0
005a1e3e,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,,2.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,4.0,1.0,3.0,3.0
005ef0c4,3.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,5.0
00601150,3.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,3.0,5.0,3.0,1.0,2.0,5.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,5.0,1.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0
00769460,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,,2.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0
0082e6f9,5.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,4.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,2.0,3.0
00a41e77,3.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,,3.0,2.0,5.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0
00babb90,2.0,4.0,4.0,1.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,3.0,4.0,5.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,5.0,4.0,2.0,2.0,4.0,3.0,0.0,3.0,1.0,0.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0
00bb1f2d,5.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,5.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0
